"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2000-03-10" 6.69517864050778e-06 1.46279121081744e-05 5.83314703603067e-05 -1.65614119393836e-06 0 4.7991458119507e-05 0 0.000206611747215274 -0.000920347116618666 0 -1.57709668997385e-06
"2000-03-17" 1.5421131623472e-05 -1.06547684225041e-05 5.90488138622058e-05 0.000227047362564586 0 5.88032584286929e-05 0 7.62310979200115e-05 0.000653971643294606 0 -0.000108777698978337
"2000-03-24" 0 -4.99100331855891e-06 -0.000108157655389539 7.98439673593258e-05 0 0 0 6.32975978811179e-06 0.000247976344308959 0 8.05470641702003e-06
"2000-03-31" 0 3.28911899355399e-06 0.000271282466098614 -0.000151354804185803 0 -5.89377140256154e-05 0 6.77631005983721e-05 0.000409530133936526 0 -0.000620504615444462
"2000-04-07" 0 1.05933958712046e-06 0.000216859376928337 -8.38317486209957e-05 0 -3.42840345659672e-05 0 2.51101104825472e-05 -0.000142192195271316 0 -8.59928549829545e-05
"2000-04-14" 0 -8.89834269245703e-05 0.00046203866726506 0.000374204353912075 0 -6.98582936288872e-05 0 -0.00010104942334792 1.10494289838385e-06 0 -0.000132429715740241
"2000-04-21" 0 -0.00019630076181596 -6.38084754624631e-06 -6.129906088712e-05 0 0.000137927521875315 0 0.000289574204482929 -2.97323577254538e-05 0 -0.000123234359845699
"2000-04-28" 0 0.000161407486279776 -1.88027050544069e-05 4.33825287813984e-07 0 -0.000120765183126944 0 0.000884928699714338 -7.94478907858424e-05 0 8.11608926110611e-05
"2000-05-05" 0 -0.000236217622760987 5.8711323506333e-05 -9.65551163836516e-05 0 -4.41568189041966e-05 0 0.000200500762590641 -7.41771097620034e-05 0 -5.57302072224305e-06
"2000-05-12" 0 7.90281269283597e-05 -2.55296117164229e-08 0.000100722176786922 0 5.85134997653067e-05 0 -2.98838851811063e-05 -9.71813486272773e-05 0 4.58672271726566e-06
"2000-05-19" 0 0.000313899600293378 -3.76576278049194e-05 0.000383072698598963 0 7.45691824090181e-05 0 -0.000249329321353386 0.00019701756430382 0 -0.000303999009299414
"2000-05-26" 0 0 -0.00020675428838142 1.98426431073281e-05 0 6.10451230709886e-05 0 -2.38133431461566e-05 0.000274090317220362 0 0.000724340754082698
"2000-06-02" 0 0 4.28742763962943e-05 9.7909421419729e-05 0 -1.36136129031387e-05 0 -0.000540701612854946 4.51316912202134e-05 0 -0.000231508705909153
"2000-06-09" 0 0 -9.40773700697873e-06 -4.33202098528903e-05 0 -3.64859954664225e-05 0 0.00196876735954873 5.97337173856866e-05 0 -0.000991329430228993
"2000-06-16" 0 0 0.000274427495151568 0.000119979909501184 0 0.000123300649549892 0 -0.000291205365044691 -0.000909114048591022 0 0.000129295179011286
"2000-06-23" 0 0 0.000140650139442375 -0.00020972654235951 0 -0.000173653346622775 0 -0.000498341176578832 -0.000172151604831408 0 0.000818268621584463
"2000-06-30" -0.000168574584319271 3.88180844041036e-05 -0.000597290221077268 5.8604861103125e-05 0 2.52300562130878e-05 0 0.000580989902746428 -0.000640341986621122 0 0.000748701941927586
"2000-07-07" 1.87090825226874e-05 2.95343647799346e-05 4.9777782187421e-05 2.03856672043602e-05 0 -4.09515439030412e-06 0 0.000106964990450561 1.11747773424686e-05 0 -2.68434405291982e-05
"2000-07-14" -0.000326433071865174 -8.08095633605335e-05 0.000179524025073437 3.07436006339065e-05 0 -1.26939403160195e-05 0 7.56873102581163e-05 -0.000287144561841403 0 4.5169711348588e-05
"2000-07-21" 0.00017567298141829 -6.42578896403195e-06 -6.367118409873e-05 -2.10819930145509e-06 0 -2.76354701859937e-05 0 -0.000195907075581304 0.000106503281865014 0 0.0001618255973657
"2000-07-28" 0 -2.87982146169768e-05 0.000316366988247112 -1.62820882480373e-05 0 -5.25716794670964e-06 0 -0.000350686329980617 6.60455391859293e-05 0 0.000244488841419515
"2000-08-04" 0 -6.1098288612625e-05 -0.000228090223948396 -9.2079840532984e-05 0 -4.71068001009695e-06 0 0.000101005025701694 0.000360995718951158 0 -2.52787229279273e-05
"2000-08-11" 0 -2.45981625544181e-05 -0.000103799377912663 0.000122065873509066 0 3.82632132426631e-05 0 -2.65654265770422e-08 0.000218067146594129 0 0.000105134908591979
"2000-08-18" 0 1.20185038854739e-05 -6.52432189165926e-05 -4.17076835797822e-06 0 0 0 9.82598955804684e-05 0.000543813376977314 0 5.48963348506103e-06
"2000-08-25" 0 -3.56732018704109e-05 -3.24068539986973e-05 -6.96697495592253e-05 0 0 0 9.69900656095301e-07 2.08322042886655e-05 0 0.000123967672173983
"2000-09-01" 0 5.97145057578464e-05 0.00018854267284608 -8.39259398269873e-05 0 7.41034293547145e-08 0 2.75075561139028e-05 -2.67069140390121e-05 0 -1.53572715216232e-05
"2000-09-08" 0 -8.34711558206408e-06 -0.000109097681382117 0 0 2.8751778338926e-07 0 5.59177878948702e-06 -3.07805701778926e-05 0 3.50108590453455e-05
"2000-09-15" 0 -8.61069662362684e-07 4.57393522216527e-05 1.19517545489734e-05 0 0 0 -5.09698356137676e-05 5.91799308736381e-05 0 -3.2217010498655e-05
"2000-09-22" 0 -5.90236619407902e-07 3.0194587175261e-05 -3.86446950674434e-06 0 1.66420075776706e-06 0 -6.46540031223946e-05 0.000138370727035436 0 -4.20614840615482e-06
"2000-09-29" 0 -6.28070244198595e-06 3.22702877432709e-05 -2.37259969712644e-05 0 -3.07865367607342e-06 0 -0.000108076891212856 0.000251273816186011 0 2.90794712558304e-07
"2000-10-06" 0 -7.76564002065041e-05 0.000338664724721784 -0.00012989947059601 0 -0.000104806031642731 0 -0.000229903307524297 -0.000270159793812953 0 0.000117354763919451
"2000-10-13" 0 2.98568325215484e-05 -2.07767428918216e-05 0.00019141720451185 0 0.000110413479823198 0 8.05516061684177e-06 3.39501828472926e-07 0 -9.18493250762111e-06
"2000-10-20" 0 3.77221292434071e-05 3.50676578630226e-05 -2.1539527734102e-05 0 6.33329313909543e-05 0 3.83603327146576e-05 -2.23599583862125e-05 0 6.86712658336882e-06
"2000-10-27" 0 0.000100135212992635 -9.27351704817253e-07 -3.87724658074495e-05 0 0.000161549713579695 0 -3.34248599221507e-06 1.79277625892005e-05 0 -5.11970215290227e-05
"2000-11-03" 0 -3.49374510550117e-05 1.79516674520537e-05 8.48810967519876e-05 0 -6.27072768971636e-05 0 -8.24513494620701e-05 1.78857747012176e-05 0 5.98466378323922e-05
"2000-11-10" 0 -1.1591306536261e-05 0.000107174813575764 4.62928203243499e-05 0 3.43734474605771e-05 0 -8.86504696193358e-06 -5.20977284149151e-05 0 1.05474755025485e-05
"2000-11-17" 0 -4.07021940579647e-05 -0.000181516005753242 7.5674203345803e-05 0 -3.88433247861973e-05 0 -9.64608301295039e-05 -0.000106438454756573 0 0.000240479516640941
"2000-11-24" 0 -0.000224733695323441 -2.8530129757857e-05 -5.63850118544644e-05 0 -0.000103606094021322 0 0.000777809860766018 -0.000159406235752916 0 7.82129352583096e-05
"2000-12-01" 0 0.000148348132924239 0.000593638421797006 -7.84168577717209e-05 0 -8.126747920418e-05 0 8.15817724560654e-05 8.52589466034013e-05 0 1.71789754147978e-05
"2000-12-08" 0 -2.82693411291787e-05 0.000171760107695004 -2.50636779508785e-05 0 1.26589619580032e-05 0 4.20803636810884e-06 1.03015794965964e-05 0 -0.00010569404316293
"2000-12-15" 0 -1.03500847583347e-05 0.000142914962680259 -0.000163890278409426 0 -1.78997288008316e-05 0 -7.90313960016653e-05 -4.14380813841988e-05 0 4.7062851458895e-05
"2000-12-22" 0 -5.77222874699617e-05 2.78017937993804e-05 -0.00021263711317502 0 -0.000167759314371579 0 -0.000423778827151042 4.58054880785754e-06 0 0.000465834341195938
"2000-12-29" 0 0.000123962263936599 3.84182883384585e-06 -2.359243699965e-05 0 -4.27036636785794e-06 0 -5.39819805926473e-05 -6.44487916818186e-06 0 -0.000117194838149384
"2001-01-05" 0 6.72422035518067e-05 -1.93146383974256e-05 0.000445253345346916 0 0.000163945349592114 0 0.000391462766926157 8.2773013657508e-07 0 -0.000566928244298553
"2001-01-12" 0 4.88630391416977e-05 3.43765115132235e-05 1.76892957957672e-05 0 9.03321305174381e-06 0 -0.000263333602630451 0.00052480078833784 0 0.000382935515215888
"2001-01-19" 0 0.000400773919021824 -4.02197516979806e-05 -0.000229845271111844 0 -8.0019609225213e-05 0 0.000155939180779766 0.000414775387445248 0 0.000435269770752966
"2001-01-26" 0 0.00031113680078394 -8.73991848831708e-05 -5.02495384469973e-05 0 -5.41162199801902e-06 0 1.86824569008899e-06 9.98508963456648e-05 0 6.74257834938783e-05
"2001-02-02" 0 -0.000102549919267114 -3.36681762738535e-05 -9.80734501599684e-05 0 -7.58703179981059e-06 0 -4.62099059366646e-05 0.000145111104296524 0.000101388946005867 6.79096125827181e-05
"2001-02-09" 0 -5.09596965215147e-05 5.23075624267182e-05 3.47125552250983e-06 0 -6.24409499442964e-07 0 2.25888618375657e-05 0.000238780417859884 -1.03448964716636e-05 1.53528153942757e-05
"2001-02-16" 0 -2.52759869526118e-05 4.1293705664056e-05 2.34451257673168e-06 0 9.81932098610163e-06 0 -6.92713946424371e-05 -5.84627502768733e-05 0 0.000110229062315744
"2001-02-23" 0 -7.90644234674893e-07 -4.9461840068756e-06 -1.09485257012677e-05 0 -7.90067522976266e-07 0 -2.52170368002618e-06 4.24999089610789e-05 -1.83156015909827e-05 4.34762542770648e-06
"2001-03-02" 0 5.6178889584301e-05 0.00023220765509572 -2.55115156128241e-05 0 4.31185605553471e-06 0 1.24522628540932e-05 -0.000120385867545951 0 -5.29993854719502e-05
"2001-03-09" 0 3.41956998569122e-05 -0.000223815568328853 0.000123464756101017 0 -4.24545289896139e-06 0 4.65359786559873e-05 -0.00012228035045537 0 0.00036759353751005
"2001-03-16" 0 -4.31621038567813e-05 3.99796729826704e-05 2.00395897933916e-05 0 1.74294867070521e-05 0 0.000109031450184232 -3.57642178800307e-05 0 0.000117326502178591
"2001-03-23" 0 5.63454098052674e-05 -1.74341316665376e-05 -1.46559356943956e-05 0 3.44156941000442e-05 0 -2.29125876966121e-05 9.54538657390554e-05 0 0.000218036343529304
"2001-03-30" 0 1.28992371923465e-05 0.000348787447664602 1.20662117645882e-06 0 -0.00013651858582454 0 7.37963209104718e-05 -5.6542904916251e-05 0 -9.32383232386204e-05
"2001-04-06" 0 4.44255116567159e-05 -1.55316232027765e-05 -7.51073026703341e-06 0 0.000232578835890489 0 -3.78949142829389e-05 9.64326153776784e-05 0 -0.000120320363594763
"2001-04-13" 0 -6.74280485814863e-05 -0.000469655646707961 0.000130355613718584 0 -6.12702639081007e-05 0 -0.000172257027896221 7.65209225995867e-05 0 0.000386093450839996
"2001-04-20" 0 1.96420952566026e-05 -0.000145556740966474 7.55864180623134e-05 0 0.000213082572628794 0 9.44472580365031e-05 -5.85340444053045e-05 0 5.44883259269541e-05
