"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"2001-01-19" 0 -1.2085068564712e-05 5.40159409058356e-07 2.2481446383101e-06 0 -4.35920427934667e-07 0 -3.01184934216448e-05 -4.06265603833993e-06 0 -7.74931291190197e-06
"2001-01-26" 0 1.17713405104327e-05 -2.16919703590053e-08 -1.24381764466304e-07 0 -9.27004421795389e-07 0 1.38934044042759e-06 5.21265724160843e-06 0 0.000152852838050745
"2001-02-02" 0 9.09553594843384e-06 -2.0411423335672e-08 -1.6538229484698e-07 0 7.63984455838466e-07 0 4.54608900497739e-06 5.28078166253492e-06 0 2.05260900844586e-05
"2001-02-09" 0 -4.22370780980317e-06 8.74317098003924e-08 -6.92037535211602e-07 0 -1.3537545407227e-07 0 6.55519266226371e-06 -4.13581238508548e-06 0 2.26949250030906e-05
"2001-02-16" 0 -1.82237700688399e-06 8.44375760632848e-08 -4.00471300666803e-07 0 4.54866669217294e-07 0 1.54740886118478e-05 1.24866761358983e-06 0 0.000200756040754634
"2001-02-23" 0 -2.39745692351079e-06 -5.75609815861295e-08 -8.51828511806226e-07 0 -3.13538010666087e-06 0 -1.35430805825857e-06 2.58790714236258e-06 0 -0.00012799055066425
"2001-03-02" 0 1.11825607008843e-05 -2.40864510537557e-07 4.08491939555921e-06 0 -4.38780463533409e-06 0 6.14343493203126e-06 -5.40125367949059e-06 0 0.000249475515578396
"2001-03-09" 0 0.000149050706280764 1.65778908624033e-07 1.03953602788439e-06 0 6.39939143351907e-07 0 -1.50319814194103e-05 2.17877486928942e-06 0 -0.000258383410544803
"2001-03-16" 0 5.56511322599932e-05 4.66060677850783e-08 -4.65756096126172e-07 0 1.58930266196302e-07 0 -2.84793634886288e-05 1.5808792450926e-06 0 2.10735239629697e-05
"2001-03-23" 0 4.11906790444206e-07 2.14879559495413e-07 8.53978167607216e-07 0 3.53984606310707e-07 0 3.08851708525882e-05 -4.25647683908018e-06 0 -1.09734879426343e-05
"2001-03-30" 0 2.55819166842415e-07 -6.59436186382459e-08 1.9741816369304e-06 0 1.59944028370708e-06 0 2.8493438549362e-05 4.80904508422104e-06 0 0.000327132546533405
"2001-04-06" 0 2.4638990425921e-06 3.02307395975475e-08 3.96591780944713e-06 0 -5.74930915509617e-06 0 4.13334480444694e-06 5.06728723696031e-06 0 -3.91722042562016e-05
"2001-04-13" 0 -9.17989306821511e-06 -1.22551520902185e-07 6.31630843524216e-06 0 -1.54537123885982e-06 0 9.81617379346555e-06 1.10753640243364e-05 0 0.000112339304471718
"2001-04-20" 0 3.6365642127902e-05 1.64798392626781e-07 7.10984086810545e-06 0 4.37121367936875e-06 0 7.87302007322472e-07 7.51596905112362e-06 0 2.07514668025675e-06
